Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
11-02-2008,11724.900493421053,2002 4Runner,9259,-8.82,-0.59,-5.99
01-02-2009,11419.616599628713,2002 4Runner,9259,-8.82,-0.59,-5.99
03-04-2009,11412.704194772345,2002 4Runner,9259,-8.82,-0.59,-5.99
05-04-2009,11541.545510441836,2002 4Runner,9259,-8.82,-0.59,-5.99
07-04-2009,11056.532870501558,2002 4Runner,9259,-8.82,-0.59,-5.99
09-03-2009,11343.377698334429,2002 4Runner,9259,-8.82,-0.59,-5.99
11-03-2009,11726.533833333333,2002 4Runner,9259,-8.82,-0.59,-5.99
01-03-2010,11255.64690268369,2002 4Runner,9259,-8.82,-0.59,-5.99
03-05-2010,11346.147316742477,2002 4Runner,9259,-8.82,-0.59,-5.99
05-05-2010,11737.505978856934,2002 4Runner,9259,-8.82,-0.59,-5.99
07-05-2010,12196.357611743711,2002 4Runner,9259,-8.82,-0.59,-5.99
09-04-2010,11002.941927352636,2002 4Runner,9259,-8.82,-0.59,-5.99
11-04-2010,11147.221554209918,2002 4Runner,9259,-8.82,-0.59,-5.99
01-04-2011,11102.042924878153,2002 4Runner,9259,-8.82,-0.59,-5.99
03-06-2011,10888.079096753601,2002 4Runner,9259,-8.82,-0.59,-5.99
05-06-2011,11150.589638941849,2002 4Runner,9259,-8.82,-0.59,-5.99
07-06-2011,11115.706973440803,2002 4Runner,9259,-8.82,-0.59,-5.99
09-05-2011,10737.927042519228,2002 4Runner,9259,-8.82,-0.59,-5.99
11-05-2011,10193.454860137408,2002 4Runner,9259,-8.82,-0.59,-5.99
01-05-2012,9499.04292012448,2002 4Runner,9259,-8.82,-0.59,-5.99
03-06-2012,9740.809268879879,2002 4Runner,9259,-8.82,-0.59,-5.99
05-06-2012,9696.168846234972,2002 4Runner,9259,-8.82,-0.59,-5.99
07-06-2012,9834.78162625418,2002 4Runner,9259,-8.82,-0.59,-5.99
09-05-2012,9576.647585517025,2002 4Runner,9259,-8.82,-0.59,-5.99
11-05-2012,9519.510485850418,2002 4Runner,9259,-8.82,-0.59,-5.99
01-05-2013,9207.110750808331,2002 4Runner,9259,-8.82,-0.59,-5.99
03-07-2013,9056.254596153845,2002 4Runner,9259,-8.82,-0.59,-5.99
05-07-2013,9004.121693363844,2002 4Runner,9259,-8.82,-0.59,-5.99
07-07-2013,8957.548727845788,2002 4Runner,9259,-8.82,-0.59,-5.99
09-06-2013,8545.665302685264,2002 4Runner,9259,-8.82,-0.59,-5.99
11-06-2013,8465.259194214876,2002 4Runner,9259,-8.82,-0.59,-5.99
01-06-2014,8351.821441679513,2002 4Runner,9259,-8.82,-0.59,-5.99
03-08-2014,8161.147172216761,2002 4Runner,9259,-8.82,-0.59,-5.99
05-08-2014,8298.087021200494,2002 4Runner,9259,-8.82,-0.59,-5.99
07-08-2014,8268.879362494183,2002 4Runner,9259,-8.82,-0.59,-5.99
09-07-2014,8229.22560382422,2002 4Runner,9259,-8.82,-0.59,-5.99
11-07-2014,8225.527403646913,2002 4Runner,9259,-8.82,-0.59,-5.99
01-07-2015,8107.2303058632615,2002 4Runner,9259,-8.82,-0.59,-5.99
03-09-2015,7787.517064184603,2002 4Runner,9259,-8.82,-0.59,-5.99
05-09-2015,7760.296290461661,2002 4Runner,9259,-8.82,-0.59,-5.99
07-09-2015,7923.886889391005,2002 4Runner,9259,-8.82,-0.59,-5.99
09-08-2015,8013.905010387587,2002 4Runner,9259,-8.82,-0.59,-5.99
11-08-2015,7641.253748077908,2002 4Runner,9259,-8.82,-0.59,-5.99
01-08-2016,7499.598365617433,2002 4Runner,9259,-8.82,-0.59,-5.99
03-09-2016,7551.910144612711,2002 4Runner,9259,-8.82,-0.59,-5.99
05-09-2016,7630.716407433115,2002 4Runner,9259,-8.82,-0.59,-5.99
