Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
11-02-2008,8612.461137820514,2000 Wrangler,11668,4.99,11.56,1.92
01-02-2009,9465.158542669793,2000 Wrangler,11668,4.99,11.56,1.92
03-04-2009,9743.696980903711,2000 Wrangler,11668,4.99,11.56,1.92
05-04-2009,10070.393591358494,2000 Wrangler,11668,4.99,11.56,1.92
07-04-2009,10004.960642401134,2000 Wrangler,11668,4.99,11.56,1.92
09-03-2009,10201.099687813756,2000 Wrangler,11668,4.99,11.56,1.92
11-03-2009,10002.969239146485,2000 Wrangler,11668,4.99,11.56,1.92
01-03-2010,9877.321407416182,2000 Wrangler,11668,4.99,11.56,1.92
03-05-2010,10072.873113589518,2000 Wrangler,11668,4.99,11.56,1.92
05-05-2010,10479.79296773142,2000 Wrangler,11668,4.99,11.56,1.92
07-05-2010,10579.675535282606,2000 Wrangler,11668,4.99,11.56,1.92
09-04-2010,10457.686483677711,2000 Wrangler,11668,4.99,11.56,1.92
11-04-2010,10600.463992667597,2000 Wrangler,11668,4.99,11.56,1.92
01-04-2011,9905.934622880017,2000 Wrangler,11668,4.99,11.56,1.92
03-06-2011,10096.798144257704,2000 Wrangler,11668,4.99,11.56,1.92
05-06-2011,10324.225276118563,2000 Wrangler,11668,4.99,11.56,1.92
07-06-2011,10507.07093594601,2000 Wrangler,11668,4.99,11.56,1.92
09-05-2011,10547.097996170605,2000 Wrangler,11668,4.99,11.56,1.92
11-05-2011,10126.760438911993,2000 Wrangler,11668,4.99,11.56,1.92
01-05-2012,9870.785194633409,2000 Wrangler,11668,4.99,11.56,1.92
03-06-2012,9868.310828461252,2000 Wrangler,11668,4.99,11.56,1.92
05-06-2012,10014.377255697784,2000 Wrangler,11668,4.99,11.56,1.92
07-06-2012,10100.021689339255,2000 Wrangler,11668,4.99,11.56,1.92
09-05-2012,9888.02056665417,2000 Wrangler,11668,4.99,11.56,1.92
11-05-2012,9722.526856316297,2000 Wrangler,11668,4.99,11.56,1.92
01-05-2013,9644.832291564131,2000 Wrangler,11668,4.99,11.56,1.92
03-07-2013,9704.5400168492,2000 Wrangler,11668,4.99,11.56,1.92
05-07-2013,9822.877728523388,2000 Wrangler,11668,4.99,11.56,1.92
07-07-2013,9827.415035081858,2000 Wrangler,11668,4.99,11.56,1.92
09-06-2013,9595.669949284424,2000 Wrangler,11668,4.99,11.56,1.92
11-06-2013,9705.95519637034,2000 Wrangler,11668,4.99,11.56,1.92
01-06-2014,9602.484066750221,2000 Wrangler,11668,4.99,11.56,1.92
03-08-2014,9560.080195659322,2000 Wrangler,11668,4.99,11.56,1.92
05-08-2014,9808.468370353581,2000 Wrangler,11668,4.99,11.56,1.92
07-08-2014,9970.813150384192,2000 Wrangler,11668,4.99,11.56,1.92
09-07-2014,9913.514921291673,2000 Wrangler,11668,4.99,11.56,1.92
11-07-2014,9854.294694908667,2000 Wrangler,11668,4.99,11.56,1.92
01-07-2015,9802.496427706466,2000 Wrangler,11668,4.99,11.56,1.92
03-09-2015,9811.614946307254,2000 Wrangler,11668,4.99,11.56,1.92
05-09-2015,9993.33574419948,2000 Wrangler,11668,4.99,11.56,1.92
07-09-2015,10142.680550968736,2000 Wrangler,11668,4.99,11.56,1.92
09-08-2015,10007.485425819534,2000 Wrangler,11668,4.99,11.56,1.92
11-08-2015,10102.511226209357,2000 Wrangler,11668,4.99,11.56,1.92
01-08-2016,9983.686685108938,2000 Wrangler,11668,4.99,11.56,1.92
03-09-2016,9729.421797542178,2000 Wrangler,11668,4.99,11.56,1.92
